Model,Accuracy,Precision,Recall,F1-score
resnet18,69.95954146999325,0.7247108597790336,0.6995954146999326,0.7006051991532585
efficientnet_b3,80.71476736345247,0.8112806711318382,0.8071476736345247,0.8070150091445955
resnet50,77.37693863789616,0.779208673054253,0.7737693863789615,0.774067285603147
